"page","term","title","authors","year","n_citations","abstract"
1,"miR-106b","MiR-106b and MiR-15b modulate apoptosis and angiogenesis in myocardial infarction","Z Liu, D Yang, P Xie, G Ren, G Sun, X Zeng","2012",110,"… Finally, we detected that miR-106b was able to decrease p21 expression directly by using 
a construct which included the putative miR-106b binding sequence in the 3’-UTR of p21 …"
1,"miR-106b","Emerging Role of miR-106b-25/miR-17-92 Clusters in the Control of Transforming Growth Factor β Signaling","F Petrocca, A Vecchione, CM Croce","2008",502,"… ) parallels miR-106b-25 precursor down-regulation. Although the possibility of a miR-106b-… 
−5,000 bp from the miR-106b-25 locus, whereas MCM7 mRNA and miR-106b-25 precursor …"
1,"miR-106b","Downregulation of serum miR-106b: a potential biomarker for Alzheimer disease","S Madadi, M Saidijam, B Yavari","2022",19,"… In this study, we investigated the serum levels of miR-106b as a diagnostic biomarker for 
AD … of miR-106b were measured with real-time PCR. Here, we found that miR-106b was …"
1,"miR-106b","[HTML][HTML] Clinical relevance of plasma miR-106b levels in patients with chronic obstructive pulmonary disease","S Soeda, JH Ohyashiki, K Ohtsuki","2013",70,"… for miR-106b; therefore, we chose miR-106b for further analysis. Moreover, the level of plasma miR-106b … Among the control subjects, no significant difference in plasma miR-106b level …"
3,"miR-106b","Differential expression of MiR-106b-5p and MiR-200c-3p in newly diagnosed versus chronic primary immune thrombocytopenia patients based on systematic analysis","C Qian, W Yan, T Li, Q Cui, P Liu, M Gu, J Guo","2018",NA,"… (0.92) was obtained for differential miR-106b-5p expression … miR-106b-5p is thought to 
be involved in the development of … Serum miR-106b-5p has been shown to be a potential …"
3,"miR-106b","[HTML][HTML] The oncogenic relevance of miR-17-92 cluster and its paralogous miR-106b-25 and miR-106a-363 clusters in brain tumors","R Gruszka, M Zakrzewska","2018",NA,"… miR-106b-25 cluster is located on chromosome 7 within the intron 13 region of the MCM7 
gene. The miR-106b-25 cluster encodes miR-106b, … -92a-1, and miR-106b expressions were …"
3,"miR-106b","miR-106b-5p and miR-17-5p suppress osteogenic differentiation by targeting Smad5 and inhibit bone formation","T Fang, Q Wu, L Zhou, S Mu, Q Fu","2016",NA,"… of miR-106b-5p and miR-17-5p on osteogenic differentiation. We observed an obvious 
decreasement in miR-106b… -of function experiments, we noticed that miR-106b-5p and miR-17-5p …"
4,"miR-106b","[HTML][HTML] Up-regulated miR-106b inhibits ox-LDL-induced endothelial cell apoptosis in atherosclerosis","Y Zhang, L Wang, J Xu, X Kong, L Zou","2020",NA,"… in the miR-106b mimics+ox-LDL group were significantly lower than those in the miR-106b 
NC+… Moreover, the mRNA and protein levels of PTEN in the mir-106b mimics+PTEN+ox-LDL …"
4,"miR-106b","Role of miR-106b-5p in the regulation of gene profiles in endothelial cells","J Zhang, SF Li, H Chen, JX Song","2019",NA,"… 选取从两组网络中得到的共表达地位差异最为显著的miR-106b-5p进一步研究,通过转染miR-106b-5p 
mimics上调人脐静脉内皮细胞的miR-106b-5p表达水平,筛查转染后差异基因表达谱,并…"
4,"miR-106b","Downregulation of miR-106b attenuates inflammatory responses and joint damage in collagen-induced arthritis","Y Tao, Z Wang, L Wang, J Shi, X Guo, W Zhou","2017",NA,"… effect of miR-106b (miR-106b-5p) … of miR-106b is examined. On day 22, mice were given 
lentiviral negative control, lentiviral-mediated miR-106b mimics or lentiviral-mediated miR-106b …"
4,"miR-106b","The miR-106b-25 polycistron, activated by genomic amplification, functions as an oncogene by suppressing p21 and Bim","T Kan, F Sato, T Ito, N Matsumura, S David, Y Cheng","2009",NA,"… Herein, we describe novel findings showing that (1) the miR 106b-25 polycistron is … associated 
with activation of the miR 106b-25 polycistron; and (3) the miR 106b-25 polycistron exerts …"
5,"miR-106b","[HTML][HTML] The three paralogous microRNA clusters in development and disease, miR-17-92, miR-106a-363, and miR-106b-25","C Khuu, TP Utheim, A Sehic","2016",NA,"… Translation of E2F1 is inhibited by miR-106b and miR-93 (derived from this cluster)… miR-106b/miR-93, 
and transcription of the Mcm7 gene. The role of miRNAs encoded by the miR-106b…"
5,"miR-106b","MiR-20a and miR-106b negatively regulate autophagy induced by leucine deprivation via suppression of ULK1 expression in C2C12 myoblasts","H Wu, F Wang, S Hu, C Yin, X Li, S Zhao, J Wang","2012",NA,"… -20a and miR-106b, may participate … miR-106b by specific antagomir in C2C12 cells showed 
normal autophagic activity. Altogether, our data demonstrated that miR-20a and miR-106b …"
5,"miR-106b","[HTML][HTML] miR-106b suppresses pathological retinal angiogenesis","C Ménard, AM Wilson, A Dejda, K Miloudi","2020",NA,"… We recently demonstrated that levels of miR-106b were … Here we show that expression 
of the miR-106b-25 cluster is … A reduction in levels of miR-106b triggers vascular growth …"
5,"miR-106b","[HTML][HTML] Macrophage secretion of miR-106b-5p causes renin-dependent hypertension","J Oh, SJ Matkovich, AE Riek, SM Bindom","2020",NA,"… miR-106b-5p was the source of increased miR-106b-5p in JG cells, we proactively silenced 
endogenous miR-106b in … with siRNA against pre-miR-106b, then cocultured these cells with …"
